# step rho_core(r<5) rho_core(r<10) rho_core(r<15) total_norm
3870 0.00229548 0.0145191 0.0618145 0.998757
3880 0.00227957 0.0142522 0.060842 0.998751
3890 0.00226372 0.0139877 0.0598849 0.998747
3900 0.00224757 0.0137252 0.0589422 0.998749
3910 0.00223067 0.0134647 0.0580124 0.998748
3920 0.0022126 0.0132062 0.0570941 0.998738
3930 0.00219296 0.0129501 0.0561855 0.998734
3940 0.00217142 0.0126968 0.0552848 0.998732
3950 0.00214778 0.0124468 0.05439 0.998727
3960 0.00212198 0.0122007 0.0534993 0.998721
3970 0.00209412 0.0119589 0.052611 0.998721
3980 0.00206441 0.0117219 0.0517239 0.998714
3990 0.00203318 0.01149 0.0508374 0.998714
4000 0.00200078 0.0112633 0.0499515 0.998713
4010 0.00196761 0.0110419 0.049067 0.998709
4020 0.00193401 0.0108258 0.048185 0.998702
4030 0.00190028 0.0106146 0.0473075 0.998699
4040 0.0018666 0.0104082 0.0464367 0.998698
4050 0.00183308 0.0102061 0.0455751 0.998696
4060 0.00179972 0.0100079 0.0447253 0.998689
4070 0.00176646 0.00981315 0.0438905 0.998688
4080 0.0017332 0.0096216 0.0430736 0.998683
4090 0.00169985 0.00943325 0.0422771 0.998682
4100 0.00166633 0.00924844 0.0415033 0.998679
4110 0.00163264 0.00906798 0.0407536 0.998673
4120 0.00159884 0.00889305 0.0400284 0.998672
4130 0.00156505 0.00872519 0.0393273 0.99867
4140 0.00153147 0.00856603 0.0386489 0.998662
4150 0.00149833 0.00841709 0.0379912 0.998656
4160 0.00146595 0.00827951 0.037352 0.998655
4170 0.00143465 0.00815384 0.0367291 0.998653
4180 0.0014048 0.00803996 0.0361208 0.99865
4190 0.00137678 0.0079371 0.0355258 0.998646
4200 0.00135094 0.00784387 0.034943 0.998641
4210 0.00132759 0.0077585 0.0343722 0.998639
4220 0.00130697 0.00767907 0.0338135 0.998636
4230 0.00128927 0.00760367 0.0332672 0.998632
4240 0.00127457 0.00753063 0.0327338 0.998626
4250 0.00126289 0.0074586 0.0322138 0.998628
4260 0.00125419 0.00738668 0.0317074 0.998619
4270 0.00124839 0.00731441 0.0312149 0.998618
4280 0.00124537 0.00724173 0.0307363 0.998616
4290 0.00124498 0.007169 0.0302712 0.998613
4300 0.00124699 0.00709686 0.0298194 0.99861
4310 0.00125105 0.00702617 0.0293799 0.998606
4320 0.00125668 0.00695788 0.028952 0.998601
4330 0.00126324 0.00689291 0.0285343 0.9986
4340 0.00126995 0.00683208 0.0281257 0.998595
4350 0.00127592 0.00677595 0.0277248 0.998589
4360 0.00128032 0.00672474 0.0273307 0.99859
4370 0.0012824 0.00667834 0.0269423 0.998581
4380 0.00128168 0.00663628 0.0265589 0.99858
4390 0.00127798 0.00659782 0.0261797 0.998576
4400 0.00127148 0.00656204 0.0258044 0.998573
4410 0.00126263 0.00652789 0.0254324 0.998569
4420 0.00125212 0.00649439 0.0250634 0.998568
4430 0.00124077 0.00646064 0.0246971 0.998565
4440 0.00122937 0.00642585 0.0243336 0.998561
4450 0.00121863 0.00638949 0.0239733 0.998555
4460 0.00120906 0.00635118 0.0236173 0.99855
4470 0.00120094 0.0063108 0.0232667 0.998551
4480 0.00119432 0.00626845 0.0229234 0.998545
4490 0.00118902 0.00622451 0.0225895 0.998542
4500 0.00118468 0.00617955 0.0222669 0.99854
4510 0.00118085 0.0061344 0.0219573 0.998536
4520 0.00117703 0.00609 0.0216619 0.998533
4530 0.00117274 0.0060474 0.0213811 0.99853
4540 0.00116762 0.00600764 0.0211148 0.99853
4550 0.00116146 0.00597175 0.0208622 0.998523
4560 0.00115421 0.00594057 0.0206218 0.99852
4570 0.001146 0.00591474 0.0203924 0.998517
4580 0.00113714 0.0058947 0.0201723 0.998515
4590 0.00112807 0.00588058 0.0199604 0.998509
4600 0.0011193 0.0058722 0.0197556 0.998504
4610 0.00111139 0.00586912 0.0195573 0.998504
4620 0.0011049 0.00587063 0.0193654 0.9985
4630 0.00110028 0.00587586 0.0191798 0.998498
4640 0.0010979 0.00588385 0.0190007 0.998497
4650 0.00109798 0.00589365 0.0188285 0.998489
4660 0.00110064 0.00590445 0.0186636 0.998484
4670 0.00110583 0.00591557 0.0185066 0.998484
4680 0.00111342 0.00592657 0.0183576 0.998482
4690 0.0011232 0.00593723 0.0182172 0.998478
4700 0.00113492 0.00594752 0.0180856 0.998473
4710 0.00114826 0.00595758 0.0179629 0.998471
4720 0.00116289 0.00596768 0.0178491 0.998462
4730 0.00117843 0.00597816 0.0177439 0.998461
4740 0.00119447 0.00598939 0.0176469 0.998463
4750 0.00121053 0.00600171 0.0175575 0.998454
4760 0.00122608 0.00601538 0.0174751 0.998452
4770 0.00124058 0.00603059 0.0173987 0.998448
4780 0.00125349 0.00604739 0.0173278 0.998448
4790 0.00126432 0.0060657 0.0172617 0.998441
4800 0.00127274 0.00608527 0.0171998 0.998441
4810 0.00127859 0.00610571 0.0171419 0.998438
4820 0.00128191 0.00612647 0.0170876 0.998437
4830 0.00128295 0.00614681 0.0170366 0.99843
4840 0.00128216 0.00616593 0.0169884 0.998429
4850 0.00128007 0.00618297 0.0169426 0.998425
4860 0.00127728 0.00619714 0.0168986 0.998421
4870 0.0012743 0.0062078 0.0168557 0.998415
4880 0.00127155 0.00621453 0.0168133 0.998413
4890 0.00126929 0.00621719 0.016771 0.998414
4900 0.00126756 0.00621595 0.0167283 0.99841
4910 0.00126626 0.00621124 0.0166848 0.998407
4920 0.00126514 0.00620374 0.0166403 0.998399
4930 0.0012639 0.00619426 0.0165948 0.998398
4940 0.00126221 0.00618371 0.016548 0.998397
4950 0.00125983 0.00617301 0.0165 0.998392
4960 0.00125661 0.00616304 0.0164505 0.998388
4970 0.00125254 0.00615453 0.0163994 0.998385
4980 0.00124772 0.00614808 0.0163466 0.998381
4990 0.00124238 0.00614408 0.0162918 0.998379
5000 0.00123677 0.00614268 0.0162351 0.998374
5010 0.00123122 0.00614381 0.0161762 0.998371
5020 0.001226 0.00614721 0.0161154 0.99837
5030 0.00122141 0.00615241 0.0160525 0.998366
5040 0.00121771 0.00615883 0.0159879 0.998363
5050 0.00121513 0.00616585 0.0159219 0.998361
5060 0.00121391 0.00617287 0.0158549 0.998357
5070 0.00121425 0.00617937 0.0157877 0.998351
5080 0.00121629 0.006185 0.0157209 0.998349
5090 0.0012201 0.00618953 0.0156552 0.998347
5100 0.00122567 0.00619291 0.0155916 0.998341
5110 0.00123287 0.00619517 0.0155307 0.99834
5120 0.00124148 0.00619639 0.015473 0.998333
5130 0.00125118 0.00619671 0.0154191 0.998334
5140 0.00126161 0.00619618 0.0153691 0.998329
5150 0.0012724 0.00619486 0.015323 0.998327
5160 0.00128316 0.00619273 0.0152807 0.998317
5170 0.00129354 0.00618974 0.0152418 0.998319
5180 0.00130318 0.00618582 0.0152057 0.998318
5190 0.00131177 0.0061809 0.0151719 0.998316
5200 0.00131905 0.00617489 0.0151399 0.998312
5210 0.00132477 0.00616766 0.0151092 0.998307
5220 0.00132879 0.00615911 0.0150797 0.998301
5230 0.00133103 0.00614905 0.0150512 0.9983
5240 0.00133153 0.00613735 0.0150238 0.99829
5250 0.00133044 0.00612381 0.0149975 0.99829
5260 0.001328 0.00610828 0.0149721 0.998291
5270 0.00132453 0.00609062 0.0149475 0.998287
5280 0.00132034 0.00607073 0.0149232 0.998287
5290 0.00131577 0.0060486 0.0148987 0.998279
5300 0.00131106 0.00602428 0.0148733 0.99827
5310 0.00130637 0.00599788 0.014846 0.998271
5320 0.00130179 0.00596962 0.0148163 0.99827
5330 0.00129729 0.00593975 0.0147833 0.998266
5340 0.00129278 0.00590861 0.0147466 0.998265
5350 0.00128815 0.00587657 0.0147058 0.99826
5360 0.00128327 0.00584403 0.0146608 0.998256
5370 0.00127803 0.00581142 0.0146116 0.998252
5380 0.00127236 0.00577915 0.0145584 0.998246
5390 0.00126624 0.00574764 0.0145017 0.998247
5400 0.00125969 0.00571723 0.014442 0.998241
5410 0.00125276 0.00568821 0.0143797 0.99824
5420 0.00124553 0.00566076 0.0143156 0.998237
5430 0.00123813 0.00563495 0.0142502 0.998228
5440 0.00123071 0.0056107 0.0141841 0.998228
5450 0.00122348 0.00558785 0.0141176 0.998224
5460 0.00121667 0.00556612 0.0140513 0.998223
5470 0.00121054 0.00554521 0.0139855 0.99822
5480 0.00120537 0.00552483 0.0139203 0.998215
5490 0.00120138 0.00550468 0.013856 0.998208
5500 0.00119873 0.00548457 0.0137929 0.99821
5510 0.00119748 0.00546439 0.0137311 0.998204
5520 0.00119754 0.00544408 0.0136708 0.9982
5530 0.00119874 0.00542367 0.0136122 0.998199
5540 0.00120075 0.00540328 0.0135555 0.99819
5550 0.00120322 0.005383 0.0135006 0.998195
5560 0.00120575 0.00536297 0.0134475 0.998185
5570 0.001208 0.00534329 0.013396 0.998186
5580 0.00120964 0.00532401 0.0133461 0.998182
5590 0.00121045 0.00530508 0.0132975 0.998179
